KEDAH,PARLIMEN,11,011 PENDANG,2,44,0.808,GE15,PN,DATUK HAJI AWANG SOLAHUDIN ,17719, UMNO,SURAYA BINTI YAACOB ,8058, PKR,DATO' ZUL ,49008, PAS,DATUK HAJI AWANG SOLAHUDIN ,31289,0,0,1,28698,PAS,GE14,AWANG BIN HASHIM,5808,0.846,42784,20728,26536,14901,UMNO,PPBM,0,0,1,74867,66450,3796,417,4156,25,18,5,36067,38800,30044,44823,25377,94547,3,173,94371,83742,0.886,4479,0.047,478,0.005,4,36,24,5784,5848,0.304,23218,24370,16078,5225,42402,30255,16665,47627,46920,96805,0,267,96538,85980,4325,459,4,41,31,5965,6041,47073,49732,45647,0.472,51158,0.528,4365,42096,30740,17323,21356,7235,9548,2892,1681,201,199,193,180
KEDAH,PARLIMEN,12,012 JERAI,3,53,0.793,GE15,PN,USTAZ SABRI BIN AZIT ,16269, UMNO,DATO' SERI DR. JAMIL KHIR BIN BAHAROM ,15590, DAP,ZULHAZMI BIN SHARIF ,49461, PAS,USTAZ SABRI BIN AZIT ,33192,0,0,1,40395,PAS,GE14,SABRI BIN AZIT,539,0.837,39118,21773,22312,21651,UMNO,PPBM,0,0,1,79976,64142,10851,4755,181,23,23,1,38755,41221,30647,49329,26138,105001,8,273,104720,84657,0.806,13600,0.13,6343,0.06,6,64,34,297,401,0.385,32135,30099,18739,6037,46688,33717,18559,52725,52276,107342,0,321,107021,87380,13213,6305,5,71,42,326,444,52838,54504,50826,0.473,56516,0.527,5094,46419,34254,19233,16771,6177,8100,1822,672,161,161,153,120
KEDAH,PARLIMEN,13,013 SIK,2,30,0.818,GE15,PN,AHMAD TARMIZI SULAIMAN ,12819, UMNO,MAIZA ,3736,AMANAH,DATO' LATIFAH ,34606, PAS,AHMAD TARMIZI SULAIMAN ,21787,0,0,1,23814,PAS,GE14,AHMAD TARMIZI BIN SULAIMAN,5218,0.849,27101,14870,20088,6970,UMNO,AMANAH,0,0,1,50385,46849,734,99,2660,24,14,5,24581,25804,21920,28465,17779,63126,2,164,62960,58464,0.926,914,0.014,103,0.002,5,60,23,3557,3645,0.377,11880,15607,11011,3561,29407,20000,10158,32968,30158,64527,0,198,64329,59804,881,107,6,61,24,3644,3735,31873,32654,31393,0.487,33134,0.513,2948,29212,20405,10501,16896,6316,7573,1974,1033,140,140,135,122
KEDAH,PARLIMEN,14,014 MERBOK,2,40,0.784,GE15,PN,MOHD NAZRI ,16691, UMNO,DATO' SAIFUL HAZIZY ,31554, PKR,NURIN AINA ,52573, PPBM,MOHD NAZRI ,21019,0,0,1,40465,PH-PKR,GE14,NOR AZRINA BINTI SURIP,10072,0.828,46538,20830,19618,30902,UMNO,PKR,0,0,0,87782,60191,13224,13492,374,160,332,9,43162,44620,38074,49708,27270,132444,16,5056,127372,91911,0.694,20185,0.152,19044,0.144,8,279,356,661,1304,0.306,30703,48918,28271,9184,66423,38216,18621,75607,56837,139448,0,4279,135169,98244,20509,19268,11,362,379,675,1427,69042,70406,74584,0.535,64864,0.465,7771,66890,39250,19728,16144,6039,7553,1685,867,114,114,113,101
KEDAH,PARLIMEN,15,015 SUNGAI PETANI,3,50,0.778,GE15,PH,DR. TAUFIQ BIN DATO' JOHARI ,27391, UMNO,DATO' SHAHANIM BINTI MOHAMAD YUSOFF ,50580, PKR,DR. TAUFIQ BIN DATO' JOHARI ,49465, PPBM,DR ROBERT LING ,1115,0,1,0,44354,PH-PKR,GE14,JOHARI BIN ABDUL,21569,0.834,47707,23963,22760,45532,UMNO,PKR,0,0,0,112577,68351,30202,13483,450,51,34,6,54050,58527,43511,69066,27683,168847,19,143,168685,103580,0.613,43311,0.257,21024,0.125,10,146,90,686,932,0.263,32715,61662,34715,11412,79575,50767,27093,90987,77860,176966,0,189,176777,110826,43430,21634,11,186,105,774,1076,86587,90379,90734,0.513,86232,0.487,9609,80183,51526,28580,17154,5833,8377,1915,1029,151,151,145,131
KEDAH,PARLIMEN,16,016 BALING,3,78,0.835,GE15,PN,USTAZ HASSAN ,35356, UMNO,DATUK AZEEZ RAHIM ,8636,AMANAH,CIKGU JOHARI ABDULLAH ,64493, PAS,USTAZ HASSAN ,29137,0,0,1,56132,BN-UMNO,GE14,ABDUL AZEEZ BIN ABDUL RAHIM,1074,0.859,61731,38557,37483,14472,UMNO,PPBM,1,0,0,107213,95283,4691,5540,1485,56,37,121,52321,54892,47283,59930,36841,132099,8,295,131796,118081,0.894,5608,0.042,6108,0.046,185,112,63,1942,2302,0.425,41074,31449,23698,7467,61851,41484,21297,69318,62781,135044,0,360,134684,121390,5324,5945,203,133,66,1983,2385,66012,69032,66113,0.49,68931,0.51,6252,61452,42276,22207,37422,11828,16078,6003,3513,244,243,243,241
KEDAH,PARLIMEN,17,017 PADANG SERAI,2,43,0.69,GE15,PN,DATO' CIKGU AZMAN ,2983, MIC,DATO' SIVARAJ CHANDRAN ,35377, PKR,KARUPAIYA MUTUSAMI ,51637, PPBM,DATO' CIKGU AZMAN ,16260,0,0,1,32866,PH-PKR,GE14,KARUPAIYA A/L MUTUSAMI,8813,0.839,36658,15449,22911,31724,MCA,PKR,0,0,0,84834,50101,16787,17635,238,41,30,2,40934,43900,34326,50508,19400,133867,15,76,133776,83656,0.625,23618,0.176,25941,0.194,3,101,102,446,652,0.246,18,52286,32121,10948,65427,39655,17837,76375,57492,142484,0,78,142406,91581,23694,26458,3,121,114,513,751,69926,72558,78800,0.553,63684,0.447,9338,66718,40283,18854,12004,4528,5665,1182,629,92,91,88,75
KEDAH,PARLIMEN,18,018 KULIM-BANDAR BAHARU,2,41,0.793,GE15,PN,CIKGU ROSLAN HASHIM ,13872, UMNO,DATUK MUHAR BIN HUSSAIN ,21408, PKR,DATUK SERI SAIFUDDIN NASUTION ISMAIL ,34469, PPBM,CIKGU ROSLAN HASHIM ,13061,0,0,1,36519,PH-PKR,GE14,SAIFUDDIN NASUTION BIN ISMAIL,4860,0.832,30676,18299,12885,23159,UMNO,PKR,0,0,0,66587,46070,11755,8585,94,41,39,3,32673,33914,26099,40488,20584,90141,9,1487,88645,63054,0.7,15434,0.171,11326,0.126,5,109,59,154,327,0.405,26392,28152,15902,5019,41526,28190,15406,46545,43596,91648,0,1420,90228,65104,14987,11208,8,104,65,172,349,45254,46394,44382,0.484,47266,0.516,4243,41332,28488,16028,14086,5068,6404,1752,862,104,104,101,96
KELANTAN,PARLIMEN,19,019 TUMPAT,4,52,0.711,GE15,PN,DATO' KAK TAZ ,30633, UMNO,DATO' CHE LAH (DCL) ,7762,AMANAH,HAJI WAN JO ,65426, PAS,DATO' KAK TAZ ,34793,0,0,1,55771,PAS,GE14,CHE ABDULLAH BIN MAT NAWI,17500,0.8,51204,29541,47041,10003,UMNO,PPBM,0,0,1,110924,103070,3474,202,4105,23,46,4,55215,55709,51854,59070,30802,149371,15,408,148948,137969,0.924,5457,0.037,240,0.002,12,64,45,5584,5705,0.373,30547,43963,28434,9422,73342,44084,22523,82764,66607,153886,0,429,153457,142190,5629,239,21,81,54,5672,5828,76838,77048,80554,0.523,73332,0.477,7866,73234,44860,23692,25302,9241,10777,3244,2040,219,218,204,193
KELANTAN,PARLIMEN,20,020 PENGKALAN CHEPA,3,32,0.735,GE15,PN,DATUK MARZUK ,15663, UMNO,DR. HAFIZ ,7356,AMANAH,KAK JAH ,53933, PAS,DATUK MARZUK ,38270,0,0,1,33792,PAS,GE14,AHMAD MARZUK BIN SHAARY,13232,0.807,26203,19360,32592,7435,UMNO,PKR,0,0,1,75384,73818,1121,110,172,77,82,4,37127,38257,37668,37716,18103,106982,22,2630,104330,103759,0.97,1974,0.018,177,0.002,7,112,69,884,1072,0.316,23231,35587,22672,7539,57498,29361,12584,65037,41945,111574,0,2364,109210,108183,2032,178,11,111,77,982,1181,55254,56320,63598,0.57,47976,0.43,6355,57614,30125,13265,16251,6430,7008,1926,887,127,127,123,90
KELANTAN,PARLIMEN,21,021 KOTA BHARU,3,33,0.685,GE15,PN,DATUK SERI TAKIYUDDIN ,16168, UMNO,HJ. ROSMADI ISMAIL ,19256,AMANAH,DR HAFIDZAH ,41869, PAS,DATUK SERI TAKIYUDDIN ,22613,0,0,1,28191,PAS,GE14,TAKIYUDDIN BIN HASSAN,5869,0.77,31892,16256,28291,22422,UMNO,AMANAH,0,0,1,88708,74927,12601,706,397,37,40,0,43387,45321,37661,51047,20582,115450,27,855,114568,97503,0.845,15804,0.137,912,0.008,3,77,47,1104,1231,0.244,18879,31710,18272,5664,54090,34768,20928,59754,55696,116938,0,826,116112,99541,15211,874,3,89,48,1172,1312,57636,59302,55948,0.478,60990,0.522,4827,53358,35066,21696,13869,5192,6137,1579,961,120,120,115,103
KELANTAN,PARLIMEN,22,022 PASIR MAS,3,35,0.7,GE15,PN,USTAZ FADHLI SHAARI ,13727, UMNO,DATO GHANI ,6439, PKR,DATUK HUSAM ,44444, PAS,USTAZ FADHLI SHAARI ,30717,0,0,1,32115,PAS,GE14,AHMAD FADHLI BIN SHAARI,13075,0.777,28482,15005,28080,5093,UMNO,PKR,0,0,1,71222,69501,1414,56,204,26,20,1,35126,36096,31964,39258,17344,94544,4,122,94418,92087,0.974,1840,0.019,73,0.001,4,47,14,479,544,0.34,19376,27703,17372,5571,45710,28022,15241,51281,43263,96682,0,108,96574,94219,1817,77,4,48,17,500,569,47615,49067,49253,0.509,47429,0.491,4644,45354,28458,15908,18250,7010,7800,2343,1097,157,156,150,122
KELANTAN,PARLIMEN,23,023 RANTAU PANJANG,3,38,0.659,GE15,PN,KAK LAH ,17123, UMNO,PROF UST ZUL ,4256,AMANAH,DR SHAH ,37759, PAS,KAK LAH ,20636,0,0,1,34316,PAS,GE14,SITI ZAILAH BINTI MOHD YUSOFF,6150,0.751,31252,18431,24581,5361,UMNO,AMANAH,0,0,1,66115,64129,1359,55,527,20,22,3,33164,32951,29149,36966,16912,93248,15,399,92834,90262,0.968,1815,0.019,93,0.001,3,56,37,982,1078,0.368,21182,30545,18020,5938,45255,27312,14743,51193,42055,96332,0,392,95940,93233,1817,91,4,65,41,1081,1191,48378,47954,50015,0.519,46317,0.481,4974,45313,27801,15532,26443,11136,10697,2948,1662,204,204,194,162
KELANTAN,PARLIMEN,24,024 KUBANG KERIAN,3,40,0.726,GE15,PN,USTAZ DATO' TUAN IBRAHIM ,14807, UMNO,KAK LONG ,10236,AMANAH,DR.WAN AHMAD KAMIL ,55654, PAS,USTAZ DATO' TUAN IBRAHIM ,40847,0,0,1,26489,PAS,GE14,TUAN IBRAHIM BIN TUAN MAN,19369,0.791,26674,16251,35620,11557,UMNO,AMANAH,0,0,1,82018,80361,1381,123,88,36,28,1,40008,42010,39886,42132,17186,113640,13,98,113529,110647,0.974,2265,0.02,203,0.002,3,51,47,424,525,0.233,16504,35561,23568,7750,59528,31066,15296,67278,46362,118423,0,98,118325,115322,2317,199,3,61,53,468,585,58084,60339,65896,0.556,52527,0.444,6551,59628,31680,16006,14952,5919,6552,1412,1069,151,151,140,112
KELANTAN,PARLIMEN,25,025 BACHOK,3,50,0.74,GE15,PN,SYAHIR SULAIMAN ,27229, UMNO,DATUK HAJI ZAIN ,4366, PKR,NOR AZMIZA MAMAT ,57130, PAS,SYAHIR SULAIMAN ,29901,0,0,1,61072,PAS,GE14,NIK MOHAMAD ABDUH BIN NIK ABDUL AZIZ,3292,0.82,41802,32896,36188,4880,UMNO,PPBM,0,0,1,92606,91174,996,42,341,25,26,2,45073,47533,44876,47730,17186,123183,8,250,122925,121057,0.983,1330,0.011,61,0.0,8,69,36,622,735,0.496,42531,35615,24695,8241,63195,35601,16146,71436,51747,127979,0,300,127679,125751,1354,73,8,93,41,659,801,62560,65419,69538,0.543,58441,0.457,6937,63009,36532,16941,20979,8374,8819,2598,1188,155,155,153,139
KELANTAN,PARLIMEN,26,026 KETEREH,3,29,0.751,GE15,PN,MEJ JEN DATO HJ KHLIR (B) ,17435, UMNO,MARZUANI ARDILA ARIFFIN (GEE) ,4662, PKR,HAJI RAHIMI ,40542, PAS,MEJ JEN DATO HJ KHLIR (B) ,23107,0,0,1,44952,BN-UMNO,GE14,ANNUAR BIN MUSA,4626,0.834,32791,25467,20841,6799,UMNO,PPBM,1,0,0,65238,63057,1227,56,296,188,376,38,32744,32494,31866,33372,24572,85281,5,3056,82220,82448,0.967,1628,0.019,88,0.001,7,207,400,503,1117,0.527,30453,24059,16392,5355,43664,24873,11389,49019,36262,88245,0,2766,85479,85412,1646,85,10,191,375,526,1102,43938,44307,47313,0.536,40932,0.464,4453,43504,25533,11987,14955,4780,6132,2542,1501,129,127,123,113
KELANTAN,PARLIMEN,27,027 TANAH MERAH,3,33,0.713,GE15,PN,DATO' SRI IKMAL HISHAM ,9781, UMNO,CIKGU BAKRI ,5357, PKR,DATO' D ,54266, PAS,DATO' SRI IKMAL HISHAM ,44485,0,0,1,45431,BN-UMNO,GE14,IKMAL HISHAM BIN ABDUL AZIZ,2929,0.814,35620,28152,25223,4747,UMNO,PKR,1,0,0,73172,69300,2866,453,479,39,32,3,36033,37139,35749,37423,23542,98782,5,280,98497,93252,0.944,4049,0.041,513,0.005,4,62,40,862,968,0.46,16700,27952,18530,6155,49725,29172,13730,55880,42902,102351,0,238,102113,96809,4079,471,5,74,42,871,992,50342,52009,53857,0.526,48494,0.474,5025,49415,29865,14403,15481,5966,6846,1576,1093,141,141,138,120
KELANTAN,PARLIMEN,28,028 PASIR PUTEH,4,48,0.729,GE15,PN,USTAZ NIK ZAWAWI ,23828, UMNO,ZAWAWI BIN OTHMAN ,3864, AMANAH,USTAZ MUHAMMAD HUSAIN ,52937, PAS,USTAZ NIK ZAWAWI ,29109,0,0,1,52043,PAS,GE14,NIK MUHAMMAD ZAWAWI BIN SALLEH,1360,0.817,40415,30947,32307,4896,UMNO,PPBM,0,0,1,85411,83844,817,48,642,28,29,3,41174,44237,40659,44752,29012,113070,7,262,112801,110876,0.981,1002,0.009,58,0.001,4,58,38,1034,1134,0.46,30859,32723,22137,7370,56798,33150,15752,64168,48902,115689,0,221,115468,113464,967,68,9,75,40,1066,1190,56129,59560,62082,0.537,53607,0.463,6175,56476,33759,16525,24659,9127,11005,2689,1838,225,225,214,184
KELANTAN,PARLIMEN,29,029 MACHANG,3,36,0.743,GE15,PN,WAN AHMAD FAYHSAL ,25449, UMNO,AHMAD JAZLAN  BIN YAAKUB ,3934, PKR,DR ROSLI ,35603, PAS,WAN AHMAD FAYHSAL ,10154,0,0,1,47051,BN-UMNO,GE14,AHMAD JAZLAN BIN YAAKUB,2824,0.824,33035,26076,23252,5695,UMNO,PPBM,1,0,0,68387,65961,2143,140,84,30,26,3,33447,34940,32358,36029,23772,88825,8,268,88549,85619,0.964,2725,0.031,160,0.002,4,47,42,228,321,0.53,34017,24142,16232,5279,43864,26544,13138,49143,39682,90232,0,231,90001,87055,2654,166,4,56,48,249,357,44325,45907,47120,0.522,43112,0.478,4426,43632,26901,13805,22275,7916,8370,3473,2516,161,161,159,157
KELANTAN,PARLIMEN,30,030 JELI,3,28,0.731,GE15,PN,POK ZAHARI ,14608, UMNO,NORWAHIDA BINTI PATUAN ,1140,AMANAH,MD RADZI ,27072, PAS,POK ZAHARI ,12464,0,0,1,28413,BN-UMNO,GE14,MUSTAPA BIN MOHAMED,6647,0.835,23642,21665,15018,2078,UMNO,PPBM,1,0,0,47470,46623,92,53,123,155,159,265,24142,23328,23125,24345,20019,59798,1,1896,57901,58465,0.978,105,0.002,66,0.001,472,226,148,316,1162,0.475,19843,16160,11056,3574,30025,18089,8110,33599,26199,60479,0,1534,58945,59344,91,55,444,80,110,355,989,30435,30044,32140,0.531,28339,0.469,2941,29733,18331,8531,14302,4807,6274,1825,1396,101,101,100,97
KELANTAN,PARLIMEN,31,031 KUALA KRAI,4,44,0.711,GE15,PN,USTAZ LATIFF ,17552, UMNO,ZUKI ,4148,AMANAH,SYAM GHAZ ,42740, PAS,USTAZ LATIFF ,25188,0,0,1,42066,PAS,GE14,ABDUL LATIFF BIN ABDUL RAHMAN,7992,0.8,33812,20911,28903,5173,UMNO,AMANAH,0,0,1,70348,66507,2787,832,151,43,23,5,35265,35083,34209,36139,21788,92335,1,280,92054,86911,0.941,3783,0.041,1051,0.011,11,51,40,488,590,0.456,23912,26337,17779,5866,47493,26526,12450,53359,38976,94385,0,350,94035,88986,3703,979,14,70,48,585,717,47134,47251,51204,0.543,43181,0.457,4889,47071,27116,12936,19359,7873,8721,1811,954,195,193,176,141
