state,constituency,parliament_code,parliament,num_of_dun,num_of_pdm,turn_out_spr_ge15,election_year_15,party_win_ge15,candidate_win_ge15,bn_votes_ge15,bn_components_ge15,bn_candidates_ge15,ph_votes_ge15,ph_components_ge15,ph_candidates_ge15,pn_votes_ge15,pn_components_ge15,pn_candidates_ge15,majority_ge15,bn_status_ge15,ph_status_ge15,pn_status_ge15,base_stock_ge15,party_win_ge14,election_year_14,candidate_win_ge14,majority_ge14,turn_out_spr_ge14,base_stock_ge14,bn_votes_ge14,pas_votes_ge14,ph_votes_ge14,bn_components_ge14,ph_components_ge14,bn_status_ge14,ph_status_ge14,pas_status_ge14,all_voters_ge14,melayu_voters_ge14,chinese_voters_ge14,india_voters_ge14,lain_voters_ge14,sabah_voters_ge14,swak_voters_ge14,oa_voters_ge142,male_ge14,female_ge14,under40_ge14,above41_ge14,average_bn_votes_3ge,all_voters_ge15,pos_voters_ge15,awal_voters_ge15,awam_voters_ge15,melayu_voters_ge15,melayu_ge15_pct,chinese_voters_ge15,chinese_ge15_pct,india_voters_ge15,india_ge15_pct,oa_voters_ge15,sabah_voters_ge15,swak_voters_ge15,lain_voters_ge15,lain_lain,basestock_vs_votersge15_pct,basestock_turnout_ge15,new_voters_ge15,age18_25_ge15,age18_20_ge15,age21_40_ge15,age41_60_ge15,age61_90_ge15,under40_ge15,above41_ge15,all_voters_feb26,pos_feb26,awal_feb26,awam_feb26,melayu_feb26,chinese_feb26,india_feb26,oa_feb26,sabah_feb26,swak_feb26,lain_26,lain_lain_feb26,male_feb26,female_26,under40_feb26,under40_feb26_pct,above_41_feb26,above41_feb26_pct,u0,u1,u2,u3,members_all,members_man,members_woman,members_youth,members_pu3,num_branch,num_womanbranch,num_youthbranch,num_pu3_branch
PAHANG,PARLIMEN,87.0,087 KUALA KRAU,3.0,34.0,0.8,GE15,PN,USTAZ HAJI KAMAL BIN ASHAARI ,21481.0, UMNO,DATO' SRI DR HAJI ISMAIL BIN MOHAMED SAID ,3593.0,AMANAH,JUHARI OSMAN ,22505.0, PAS,USTAZ HAJI KAMAL BIN ASHAARI ,1024.0,0.0,0.0,1.0,33828.0,BN-UMNO,GE14,ISMAIL BIN MOHAMED SAID,2876.0,0.827,29880.0,18058.0,15182.0,5071.0,UMNO,PPBM,1.0,0.0,0.0,47264.0,42475.0,1310.0,1088.0,94.0,25.0,14.0,2258.0,23207.0,24057.0,21810.0,25454.0,18599.0,60537.0,2.0,43.0,60492.0,53988.0,0.892,1511.0,0.025,1256.0,0.021,,62.0,25.0,38.0,3782.0,0.559,26793.0,16102.0,9659.0,3301.0,29127.0,18356.0,9753.0,32428.0,28109.0,61928.0,0.0,37.0,61891.0,55108.0,1458.0,1251.0,3949.0,81.0,34.0,47.0,4111.0,30532.0,31396.0,29804.0,0.481,32124.0,0.519,2614.0,27802.0,20808.0,10182.0,19345.0,6999.0,8414.0,2409.0,1523.0,85.0,85.0,85.0,80.0
PAHANG,PARLIMEN,88.0,088 TEMERLOH,3.0,44.0,0.783,GE15,PN,HJH SALAMIAH MOHD NOR ,25191.0, UMNO,DATO' SRI HJ MOHD SHARKAR ,25409.0,AMANAH,HASBIE MUDA ,30929.0, PAS,HJH SALAMIAH MOHD NOR ,5520.0,0.0,0.0,1.0,40623.0,PH-AMANAH,GE14,MOHD. ANUAR BIN MOHD TAHIR,1904.0,0.828,38738.0,22094.0,14734.0,23998.0,UMNO,AMANAH,0.0,1.0,0.0,75081.0,49890.0,16911.0,6131.0,515.0,250.0,447.0,937.0,37262.0,37819.0,32972.0,42109.0,23557.0,106829.0,12.0,2546.0,104271.0,73152.0,0.685,22380.0,0.209,8731.0,0.082,,407.0,566.0,111.0,2566.0,0.38,29681.0,35447.0,20102.0,6478.0,53620.0,30602.0,16129.0,60098.0,46731.0,110198.0,0.0,2196.0,108002.0,76153.0,22436.0,8922.0,1620.0,377.0,532.0,158.0,2687.0,55214.0,54984.0,57719.0,0.524,52479.0,0.476,4879.0,53471.0,32590.0,18357.0,17751.0,5749.0,7463.0,2862.0,1677.0,95.0,95.0,93.0,89.0
PAHANG,PARLIMEN,89.0,089 BENTONG,4.0,40.0,0.775,GE15,PH,YOUNG SYEFURA BINTI OTHMAN ,24383.0, MCA,TAN SRI LIOW TIONG LAI ,25075.0, DAP,YOUNG SYEFURA BINTI OTHMAN ,16233.0, PPBM,DATUK ROSLAN BIN HASSAN ,692.0,0.0,1.0,0.0,27371.0,PH-DAP,GE14,WONG TACK,2032.0,0.834,36465.0,23684.0,5706.0,25716.0,MCA,DAP,0.0,1.0,0.0,67359.0,31315.0,28082.0,6210.0,166.0,67.0,115.0,1404.0,34332.0,33027.0,25246.0,42113.0,24922.0,87058.0,13.0,1205.0,85840.0,43370.0,0.498,32916.0,0.378,7959.0,0.091,,152.0,150.0,173.0,2813.0,0.314,21284.0,24292.0,13184.0,4228.0,37866.0,27967.0,16997.0,42094.0,44964.0,87938.0,0.0,1266.0,86672.0,44928.0,32264.0,7860.0,2327.0,161.0,145.0,253.0,2886.0,44712.0,43226.0,39199.0,0.446,48739.0,0.554,3174.0,36770.0,29042.0,18799.0,9590.0,3468.0,4416.0,1073.0,633.0,43.0,43.0,43.0,42.0
PAHANG,PARLIMEN,90.0,090 BERA,3.0,36.0,0.779,GE15,BN,ISMAIL SABRI BIN YAAKOB ,31762.0, UMNO,ISMAIL SABRI BIN YAAKOB ,15067.0, PKR,HAJI ABAS BIN AWANG ,12719.0, PPBM,DATO ASMAWI ,16695.0,1.0,0.0,0.0,38311.0,BN-UMNO,GE14,ISMAIL SABRI BIN YAAKOB,2311.0,0.823,30327.0,20760.0,8096.0,18449.0,UMNO,PKR,1.0,0.0,0.0,58711.0,36330.0,17124.0,2194.0,142.0,133.0,95.0,2693.0,30077.0,28634.0,25735.0,32976.0,20160.0,77669.0,9.0,3800.0,73860.0,48946.0,0.63,21101.0,0.272,2820.0,0.036,,322.0,317.0,198.0,4802.0,0.493,27987.0,21142.0,12303.0,4015.0,37808.0,23300.0,12546.0,41823.0,35846.0,77402.0,0.0,1904.0,75498.0,48560.0,21173.0,2800.0,4209.0,216.0,223.0,221.0,4869.0,39043.0,38359.0,37218.0,0.481,40184.0,0.519,3138.0,34940.0,25350.0,13623.0,13169.0,4230.0,5503.0,2080.0,1356.0,58.0,58.0,58.0,56.0
PAHANG,PARLIMEN,91.0,091 ROMPIN,3.0,38.0,0.766,GE15,PN,DATO' KHALIB ,30151.0, UMNO,DATO' SRI HASAN BIN ARIFIN ,4779.0, PKR,ERMAN SHAH ,31589.0, PPBM,DATO' KHALIB ,1438.0,0.0,0.0,1.0,54389.0,BN-UMNO,GE14,HASAN BIN ARIFIN,11395.0,0.822,36985.0,26628.0,15233.0,7876.0,UMNO,PKR,1.0,0.0,0.0,61918.0,54295.0,1431.0,654.0,200.0,73.0,33.0,5232.0,30576.0,31342.0,30114.0,31804.0,25992.0,89131.0,3.0,634.0,88494.0,75091.0,0.842,2177.0,0.024,804.0,0.009,,142.0,81.0,139.0,11059.0,0.61,38029.0,30464.0,16004.0,5254.0,48119.0,23106.0,12652.0,53373.0,35758.0,92801.0,0.0,794.0,92007.0,77601.0,2288.0,816.0,11574.0,194.0,129.0,199.0,12096.0,46198.0,46603.0,50226.0,0.541,42575.0,0.459,4217.0,46732.0,26525.0,14096.0,22433.0,8136.0,10222.0,2737.0,1338.0,112.0,112.0,111.0,100.0
SELANGOR,PARLIMEN,92.0,092 SABAK BERNAM,2.0,32.0,0.804,GE15,PN,CIKGU KALAM BIN SALAN ,12917.0, UMNO,ABD RAHMAN BAKRI ,9627.0,AMANAH,SHAMSUL MAARIF B. ISMAIL ,17973.0,PPBM,CIKGU KALAM BIN SALAN ,5056.0,0.0,0.0,1.0,18657.0,BN-UMNO,GE14,MOHD FASIAH BIN MOHD FAKEH,1674.0,0.833,26360.0,12862.0,9300.0,11188.0,UMNO,PPBM,1.0,0.0,0.0,40863.0,33936.0,4777.0,2030.0,70.0,26.0,21.0,3.0,20057.0,20806.0,17572.0,23291.0,13768.0,51609.0,1.0,57.0,51551.0,42201.0,0.818,6724.0,0.13,2533.0,0.049,4.0,49.0,39.0,59.0,151.0,0.362,14447.0,13087.0,8585.0,2831.0,23900.0,15810.0,9068.0,26731.0,24878.0,52853.0,0.0,63.0,52790.0,43410.0,6800.0,2468.0,4.0,58.0,53.0,60.0,175.0,25935.0,26918.0,25461.0,0.482,27392.0,0.518,3042.0,23669.0,16337.0,9316.0,13327.0,4593.0,6198.0,1717.0,819.0,70.0,70.0,70.0,65.0
SELANGOR,PARLIMEN,93.0,093 SUNGAI BESAR,2.0,30.0,0.801,GE15,PN,CIKGU MUSLIMIN YAHAYA ,13984.0, UMNO,DATO' SRI JAMAL YUNOS ,17070.0, PKR,SALPOLYAZAN BIN MAT YUSOP ,19791.0,PPBM,CIKGU MUSLIMIN YAHAYA ,2721.0,0.0,0.0,1.0,27998.0,PH-PPBM,GE14,MUSLIMIN BIN YAHAYA,714.0,0.859,27622.0,16636.0,7220.0,17350.0,UMNO,PPBM,0.0,1.0,0.0,48739.0,33486.0,14024.0,995.0,148.0,61.0,21.0,4.0,24387.0,24352.0,21453.0,27286.0,17133.0,64382.0,3.0,325.0,64054.0,43847.0,0.681,18873.0,0.293,1372.0,0.021,8.0,132.0,50.0,100.0,290.0,0.435,22398.0,18033.0,10916.0,3432.0,31250.0,19888.0,9812.0,34682.0,29700.0,65978.0,0.0,351.0,65627.0,45301.0,19108.0,1296.0,7.0,148.0,56.0,62.0,273.0,33280.0,32698.0,32755.0,0.496,33223.0,0.504,3503.0,30919.0,20496.0,10526.0,14206.0,4398.0,6281.0,2030.0,1497.0,114.0,113.0,112.0,108.0
SELANGOR,PARLIMEN,94.0,094 HULU SELANGOR,3.0,50.0,0.804,GE15,PN,HASNIZAN BIN HARUN ,27050.0, MIC,DATUK T.MOHAN ,45261.0, PKR,DR.SATHIA PRAKASH NADARAJAN ,46823.0, PAS,HASNIZAN BIN HARUN ,1562.0,0.0,0.0,1.0,59363.0,PH-PKR,GE14,LEOW HSIAD HUI,13391.0,0.859,61829.0,27392.0,16620.0,40783.0,MIC,PKR,0.0,1.0,0.0,100990.0,60964.0,21008.0,16476.0,531.0,205.0,148.0,1658.0,49573.0,51417.0,40337.0,60653.0,29258.0,154317.0,13.0,1344.0,152960.0,99105.0,0.642,27766.0,0.18,23417.0,0.152,,524.0,363.0,300.0,4029.0,0.385,44140.0,56516.0,33676.0,11251.0,74524.0,47018.0,21524.0,85775.0,68542.0,165980.0,0.0,1263.0,164717.0,109978.0,27891.0,23322.0,3148.0,622.0,467.0,552.0,4789.0,82080.0,83900.0,87892.0,0.53,78088.0,0.47,12313.0,77386.0,48621.0,23834.0,21058.0,7590.0,9626.0,2604.0,1238.0,157.0,157.0,151.0,135.0
SELANGOR,PARLIMEN,95.0,095 TANJONG KARANG,2.0,34.0,0.834,GE15,PN,KAPTEN(B) DATO ZULKAFPERI HANAPI ,15874.0, UMNO,DATO HABIBAH BINTI MOHD YUSOF ,12314.0,,,18054.0,PPBM,KAPTEN(B) DATO ZULKAFPERI HANAPI ,2180.0,0.0,0.0,1.0,29027.0,BN-UMNO,GE14,NOH BIN OMAR,1970.0,0.873,32608.0,17596.0,7276.0,15626.0,UMNO,PPBM,1.0,0.0,0.0,47198.0,35242.0,7532.0,4240.0,144.0,30.0,9.0,1.0,23402.0,23796.0,19683.0,27515.0,18072.0,62194.0,5.0,27.0,62162.0,46224.0,0.743,10680.0,0.172,5130.0,0.082,4.0,63.0,28.0,65.0,160.0,0.467,19903.0,17371.0,10805.0,3470.0,28926.0,19755.0,10043.0,32396.0,29798.0,64015.0,0.0,28.0,63987.0,48143.0,10800.0,4870.0,4.0,72.0,43.0,83.0,202.0,32082.0,31933.0,30907.0,0.483,33108.0,0.517,3619.0,28764.0,20432.0,10471.0,16841.0,5623.0,7445.0,2228.0,1545.0,99.0,97.0,97.0,96.0
SELANGOR,PARLIMEN,96.0,096 KUALA SELANGOR,3.0,37.0,0.852,GE15,PH,DATUK SERI DR DZULKEFLY AHMAD ,30031.0, UMNO,TENGKU ZAFRUL BIN TENGKU ABDUL AZIZ ,31033.0,AMANAH,DATUK SERI DR DZULKEFLY AHMAD ,23639.0,PPBM,USTAZ MOHD NOOR BIN MOHD SAHAR ,1002.0,0.0,1.0,0.0,37146.0,PH-AMANAH,GE14,DZULKEFLY BIN AHMAD,8498.0,0.877,36359.0,21344.0,8535.0,29842.0,UMNO,AMANAH,0.0,1.0,0.0,69397.0,45407.0,8964.0,14666.0,227.0,83.0,44.0,6.0,34070.0,35327.0,29491.0,39906.0,22259.0,102951.0,7.0,391.0,102553.0,70225.0,0.682,12286.0,0.119,19981.0,0.194,15.0,217.0,107.0,120.0,459.0,0.361,29901.0,34454.0,22113.0,7453.0,50063.0,31418.0,14017.0,57516.0,45435.0,112303.0,0.0,371.0,111932.0,78893.0,12692.0,20098.0,14.0,264.0,153.0,189.0,620.0,55395.0,56908.0,59393.0,0.529,52910.0,0.471,8507.0,52201.0,33277.0,15262.0,14409.0,5195.0,6292.0,1925.0,997.0,86.0,86.0,86.0,78.0
